date,close,high,low,open,volume,ticker
2021-01-04 00:00:00.000000,178.2501220703125,181.55741354651116,176.2898996492201,181.52025917992657,8825800,VTI
2021-01-05 00:00:00.000000,179.69007873535156,180.18245554893375,177.83204874428105,177.89708659827758,3894000,VTI
2021-01-06 00:00:00.000000,181.30654907226562,182.91374086046073,178.79821170802276,178.83536606628644,6175700,VTI
2021-01-07 00:00:00.000000,184.21437072753906,184.52094736632563,182.45853301495657,182.47711728339183,4830900,VTI
2021-01-08 00:00:00.000000,185.1062469482422,185.30134634416635,182.9973788356614,185.0040547266904,7538700,VTI
2021-01-11 00:00:00.000000,184.00071716308594,184.92973220615968,183.22034792905868,183.4061481025445,3858600,VTI
2021-01-12 00:00:00.000000,184.6510009765625,184.8646846152971,183.3318014870917,184.288685723649,3874100,VTI
2021-01-13 00:00:00.000000,184.8553924560547,185.41280710136044,183.99141534903836,184.62313871645117,3465800,VTI
2021-01-14 00:00:00.000000,184.67886352539062,185.83084709084687,184.42803971185242,185.38492391335893,4289000,VTI
2021-01-15 00:00:00.000000,183.07164001464844,184.17716980896856,182.06830240742445,183.90776177515497,3444800,VTI
2021-01-19 00:00:00.000000,184.74388122558594,184.91109708304316,183.7869971284277,184.55808110319768,4153700,VTI
2021-01-20 00:00:00.000000,187.07574462890625,187.43805990919836,185.77512930879206,185.8773215250613,5224900,VTI
2021-01-21 00:00:00.000000,186.93638610839844,187.66101662269205,186.52761726943424,187.52167005288285,2960600,VTI
2021-01-22 00:00:00.000000,186.62979125976562,187.01997579278319,185.7658142600071,186.04450737241854,3045900,VTI
2021-01-25 00:00:00.000000,187.15933227539062,187.61454046575537,184.27009561197605,186.98281719110994,5323200,VTI
2021-01-26 00:00:00.000000,186.4811248779297,187.97683917705237,186.43467130578006,187.5587853789855,4046900,VTI
2021-01-27 00:00:00.000000,182.0032958984375,184.94827116236092,180.8327281585507,184.92040185194847,6727700,VTI
2021-01-28 00:00:00.000000,183.4340057373047,185.50570518223702,182.7744130370912,182.86730603009568,5310100,VTI
2021-01-29 00:00:00.000000,180.2196044921875,183.24818794510864,179.13265876667,182.77439545213198,8315700,VTI
2021-02-01 00:00:00.000000,183.29466247558594,183.69413212158295,180.72128695443368,181.9754628756523,3900700,VTI
2021-02-02 00:00:00.000000,185.9237823486328,186.6948665240234,184.92044441591895,185.05979100005516,3278700,VTI
2021-02-03 00:00:00.000000,186.2024383544922,186.9735223759893,185.42206928778725,186.56476775222114,2905600,VTI
2021-02-04 00:00:00.000000,188.56214904785156,188.56214904785156,186.75985793433932,186.88063440348455,2746400,VTI
2021-02-05 00:00:00.000000,189.6212921142578,189.78850804513178,188.7387305136914,189.63057716297962,3127200,VTI
2021-02-08 00:00:00.000000,191.3213348388672,191.35848919837392,190.24367412981732,190.624573649064,3676700,VTI
2021-02-09 00:00:00.000000,191.39569091796875,191.79516059840802,190.68034533656325,191.00550628510533,3384800,VTI
2021-02-10 00:00:00.000000,191.3120574951172,192.51049481698823,189.93711922585177,192.37114823334943,3682400,VTI
2021-02-11 00:00:00.000000,191.7672882080078,192.25038001147152,190.2808726079082,192.02741129241636,2630000,VTI
2021-02-12 00:00:00.000000,192.76132202148438,192.77989211449747,191.19128444762282,191.27489239311234,2416700,VTI
2021-02-16 00:00:00.000000,192.41757202148438,193.59742497786158,191.8601715565409,193.52310208074047,4955700,VTI
2021-02-17 00:00:00.000000,192.01809692382812,192.21318211952257,190.48521379372937,191.39565862577933,4484000,VTI
2021-02-18 00:00:00.000000,190.91259765625,191.46071314760948,189.52836009312574,190.66175961715606,3658900,VTI
2021-02-19 00:00:00.000000,191.34921264648438,192.33396623701708,191.05192105466296,191.77655159017354,4921800,VTI
2021-02-22 00:00:00.000000,189.52833557128906,190.94044226987103,189.43544258131962,190.1879424255953,4400300,VTI
2021-02-23 00:00:00.000000,189.50045776367188,190.15076536688534,185.20841340682045,188.17197324393885,5707900,VTI
2021-02-24 00:00:00.000000,191.62794494628906,191.82303017516097,188.3856772066574,189.14747637825863,3722800,VTI
2021-02-25 00:00:00.000000,186.6205596923828,191.73014279353262,185.80302185999227,191.13557369060646,7581100,VTI
2021-02-26 00:00:00.000000,185.8773193359375,188.30204900645677,184.4559275472514,187.65174135405852,6324600,VTI
2021-03-01 00:00:00.000000,190.6524200439453,191.2377039092277,188.65504387687457,188.72935258695523,4691800,VTI
2021-03-02 00:00:00.000000,188.8594512939453,190.95903424613783,188.74797403122494,190.91258066145642,4859000,VTI
2021-03-03 00:00:00.000000,186.137451171875,189.09171215017412,185.970221095864,188.79443471319638,4334000,VTI
2021-03-04 00:00:00.000000,183.1924591064453,186.95497246541026,180.71199090662296,185.84014319190726,7198800,VTI
2021-03-05 00:00:00.000000,186.49974060058594,186.92709369055234,180.33108225061093,185.21769550632902,6614800,VTI
2021-03-08 00:00:00.000000,185.5893096923828,188.48783163090516,185.40350954836205,187.14076286720174,4281400,VTI
2021-03-09 00:00:00.000000,188.46925354003906,189.84420583726364,187.39160699914672,187.87468455430292,4116100,VTI
2021-03-10 00:00:00.000000,189.81629943847656,190.6988606107999,189.15669273246814,190.02996886057505,4133800,VTI
2021-03-11 00:00:00.000000,192.29681396484375,193.07718313838743,191.10767593592666,191.45140693901635,4102700,VTI
2021-03-12 00:00:00.000000,192.67771911621094,192.73347192774105,190.95904974862313,191.52574950619737,4069000,VTI
2021-03-15 00:00:00.000000,194.0247802734375,194.07121968097243,191.7393972321141,192.984273877689,3421900,VTI
2021-03-16 00:00:00.000000,193.24436950683594,194.44280657478973,192.6405155381494,194.2941607999729,4599900,VTI
2021-03-17 00:00:00.000000,193.97833251953125,194.43354079168515,191.7115336784879,192.59409508282366,3347000,VTI
2021-03-18 00:00:00.000000,190.4480743408203,193.64388819786197,190.23440486074014,192.72415824781353,3641900,VTI
2021-03-19 00:00:00.000000,190.68959045410156,191.5164131358629,189.1195672038319,190.57811320395376,3871000,VTI
2021-03-22 00:00:00.000000,191.72084045410156,192.54766332091484,190.8011245832554,191.26563213035598,3603900,VTI
2021-03-23 00:00:00.000000,189.53762817382812,191.78584258183466,189.18459796760106,191.5535888515574,4764800,VTI
2021-03-24 00:00:00.000000,187.9676055908203,191.23774234155496,187.9676055908203,190.60600477378352,4014500,VTI
2021-03-25 00:00:00.000000,189.35833740234375,189.83372309852504,185.95613805933434,187.27973392674485,4976800,VTI
2021-03-26 00:00:00.000000,192.45289611816406,192.6113532293903,189.44218255910462,190.2531143115214,3554900,VTI
2021-03-29 00:00:00.000000,191.54876708984375,192.3503829370912,190.3743126162457,191.63265364734033,4562900,VTI
2021-03-30 00:00:00.000000,191.4928436279297,191.9122906402873,190.42090768203585,191.24116973136233,3960500,VTI
2021-03-31 00:00:00.000000,192.65794372558594,193.52479976351484,192.01478513079783,192.06139350574523,5494800,VTI
2021-04-01 00:00:00.000000,195.0721435546875,195.09078975275693,193.468911869881,193.86972690252352,4543300,VTI
2021-04-05 00:00:00.000000,197.34646606445312,197.57017773854577,196.26521430732473,196.53553435804665,5941400,VTI
2021-04-06 00:00:00.000000,197.4210662841797,198.06422499880833,197.05754364846112,197.31853352934206,4029900,VTI
2021-04-07 00:00:00.000000,197.25328063964844,197.71933603420229,196.7592630592519,197.4117377670509,3299100,VTI
2021-04-08 00:00:00.000000,198.39976501464844,198.39976501464844,197.39308376798485,198.1107987550451,3628900,VTI
2021-04-09 00:00:00.000000,199.60218811035156,199.7047208580037,198.1853758399442,198.39977154505004,3559100,VTI
2021-04-12 00:00:00.000000,199.6581573486328,199.81661449918292,198.84722539496926,199.52766238801013,3882800,VTI
2021-04-13 00:00:00.000000,200.2174072265625,200.6648164383051,199.47171572506986,199.80727618959742,4056900,VTI
2021-04-14 00:00:00.000000,199.76998901367188,201.21474934304362,199.50898491045962,200.45974188759598,3765600,VTI
2021-04-15 00:00:00.000000,201.8951873779297,201.96042773234657,200.8325817274303,201.08424138102797,5439600,VTI
2021-04-16 00:00:00.000000,202.4078826904297,202.70616501491102,201.6342431349349,202.6968490258525,4306000,VTI
2021-04-19 00:00:00.000000,201.08424377441406,202.18414183156955,200.403806924009,202.01635450429316,3986900,VTI
2021-04-20 00:00:00.000000,199.23866271972656,200.90713461963952,198.46500912967156,200.60886659064707,5210300,VTI
2021-04-21 00:00:00.000000,201.61558532714844,201.6435475155983,198.77264431071862,199.14548297197229,3167900,VTI
2021-04-22 00:00:00.000000,200.04029846191406,202.30532086879674,199.3598615633654,201.75537891274894,4394800,VTI
2021-04-23 00:00:00.000000,202.4637908935547,203.07897320538086,200.3758576043402,200.47839036012488,4374300,VTI
2021-04-26 00:00:00.000000,203.2001495361328,203.45182342851567,202.6874857638277,202.9578058541712,3202500,VTI
